"Reference:","E1789734"
"Date:","Tue Jun 30 2026 15:51:00 GMT+0200 (Midden-Europese zomertijd)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"C1, C2, C3, C4, C12, C13, C14, C15, C16, C18, C20, C22, C23, C26, C29","15","GPC0603104-25","Generic part","0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C32, C33","2","GPC0603104-25","Generic part","0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C5","1","GPC0805106-25","Generic part","10µF ±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C6, C7","2","GPC1210476-16","Generic part","47µF ±20% 16V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C8","1","GPC0805225-25-X7R","Generic part","2.2µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C11, C36","2","GPC0603103","Generic part","10000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C17, C25, C31","3","GPC0603475-10","Generic part","4.7µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C19, C21, C24","3","GPC0402475-6.3","Generic part","4.7µF ±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C27, C30","2","GPC0603150","Generic part","15pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C28","1","GPC0603102-25","Generic part","1000pF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C34, C35","2","GPC0603105","Generic part","1µF ±10% 50V Ceramic Capacitor X5R 0603 (1608 Metric)"
"R1","1","GPR06032K","Generic part","0603, Res 2.0kOhm, 75V, 1.0%, 100mW"
"R2, R3","2","GPR06035K1","Generic part","0603, Res 5.1kOhm, 75V, 1.0%, 100mW"
"R4, R5, R17, R26, R32, R36","6","GPR0603100K","Generic part","0603, Res 100.0kOhm, 50V, 1.0%, 100mW"
"R37","1","GPR0603100K","Generic part","0603, Res 100.0kOhm, 50V, 1.0%, 100mW"
"R18, R19","2","GPR0603100K","Generic part","0603, Res 100.0kOhm, 50V, 1.0%, 100mW"
"R6, R7","2","GPR060327R","Generic part","0603, Res 27.0Ohm, 75V, 1.0%, 100mW"
"R8","1","GPR040233R","Generic part","0402, Res 33.0Ohm, 50V, 1.0%, 62.5mW"
"R9","1","GPR0603200R","Generic part","0603, Res 200.0Ohm, 50V, 1.0%, 100mW"
"R10","1","GPR060322K","Generic part","0603, Res 22.0kOhm, 50V, 1.0%, 100mW"
"R11, R12, R15, R35, R40, R41","6","GPR06031K","Generic part","0603, Res 1.0kOhm, 50V, 1.0%, 100mW"
"R16, R20","2","GPR06031K","Generic part","0603, Res 1.0kOhm, 50V, 1.0%, 100mW"
"R13, R14","2","GPR0603100R","Generic part","0603, Res 100.0Ohm, 50V, 1.0%, 100mW"
"R21","1","GPR06039K1","Generic part","0603, Res 9.1kOhm, 75V, 1.0%, 100mW"
"R23","1","GPR06032M2","Generic part","0603, Res 2.2MOhm, 75V, 1.0%, 100mW"
"R24","1","GPR0603220K","Generic part","0603, Res 220.0kOhm, 75V, 1.0%, 100mW"
"R25","1","GPR06035K6","Generic part","0603, Res 5.6kOhm, 50V, 1.0%, 100mW"
"R31","1","GPR06031M5","Generic part","0603, Res 1.5MOhm, 75V, 1.0%, 100mW"
"R33","1","GPR0603620R","Generic part","0603, Res 620.0Ohm, 75V, 1.0%, 100mW"
"R34","1","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"R38, R39","2","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"D1, D12","2","LTST-C191KFKT","Lite-On","Orange 605nm LED Indication - Discrete 2V 0603 (1608 Metric)"
"D2, D6, D10","3","LTST-C193KRKT-5A","Lite-On","Red 631nm LED Indication - Discrete 2V 0603"
"D3, D11","2","LTST-C193KGKT-5A","Lite-On","Green 572nm LED Indication - Discrete 2V 0603 (1608 Metric)"
"D4","1","LTST-C190TBKT","Lite-On","Blue 470nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"D5","1","1N4148W","Vishay","Small Signal Fast Switching Diode SOD-123 SMD DIODE 75V /125mA"
"D7","1","BZT52C5V6-7-F","Diodes Inc.","Zener Diode 5.6V 500mW ±7% Surface Mount SOD-123"
"J5","1","691213510002","Wurth Elektronik","2 Position Wire to Board Terminal Block Horizontal with Board 0.200"" (5.08mm) Through Hole"
"L1","1","74479276222C","Wurth Elektronik","2.2µH Shielded Molded Inductor 1.6A 135 mOhm Max 0806 (2016 Metric)"
"R28, R30","2","RC0603FR-0749K9L","Yageo","RES 49.9K OHM 1% 1/10W 0603"
"BT1","1","Keystone_1106","Keystone Electronics","Battery Holder 26650 1 Cell SMD (SMT) Tab"
"C9","1","TR3E227M016C0100","Vishay Sprague","220 µF ±20% Molded Tantalum Capacitors 16 V 2917 (7343 Metric) 100mOhm @ 100kHz"
"D8, D9","2","MBR120LSFT1G","ON Semiconductor","Diode Schottky 20V 1A Surface Mount SOD-123L"
"IC1, IC2","2","TXU0202DCUR","Texas Instruments","Two channel fixed-direction level shifter with channels in opposite direction 8-VSSOP -40 to 125"
